tone	 	 	40	116	0.00149852	 	0.17382832
two	 	 	40	117	0.00149852	 	0.17532684
why	 	 	40	118	0.00149852	 	0.17682536
other	 	 	40	119	0.00149852	 	0.17832388
any	 	 	39	120	0.00146106	 	0.1753272
duchess	 	 	39	121	0.00146106	 	0.17678826
great	 	 	39	122	0.00146106	 	0.17824932
back	 	 	39	123	0.00146106	 	0.17971038
dormouse	 	 	39	124	0.00146106	 	0.18117144
before	 	 	38	125	0.00142359	 	0.17794875
been	 	 	38	126	0.00142359	 	0.17937234
from	 	 	36	127	0.00134867	 	0.17128109
cat	 	 	35	128	0.00131121	 	0.16783488
can	 	 	35	129	0.00131121	 	0.16914609
that's	 	 	34	130	0.00127374	 	0.1655862
nothing	 	 	34	131	0.00127374	 	0.16685994
march	 	 	34	132	0.00127374	 	0.16813368
once	 	 	34	133	0.00127374	 	0.16940742
i've	 	 	34	134	0.00127374	 	0.17068116
large	 	 	33	135	0.00123628	 	0.1668978
will	 	 	33	136	0.00123628	 	0.16813408
last	 	 	33	137	0.00123628	 	0.16937036
tell	 	 	32	138	0.00119882	 	0.16543716
right	 	 	32	139	0.00119882	 	0.16663598
looking	 	 	32	140	0.00119882	 	0.1678348
found	 	 	32	141	0.00119882	 	0.16903362
long	 	 	32	142	0.00119882	 	0.17023244
things	 	 	31	143	0.00116135	 	0.16607305
i'll	 	 	31	144	0.00116135	 	0.1672344
hare	 	 	31	145	0.00116135	 	0.16839575
put	 	 	31	146	0.00116135	 	0.1695571
heard	 	 	30	147	0.00112389	 	0.16521183
white	 	 	30	148	0.00112389	 	0.16633572
door	 	 	30	149	0.00112389	 	0.16745961
we	 	 	30	150	0.00112389	 	0.1685835
next	 	 	30	151	0.00112389	 	0.16970739
made	 	 	30	152	0.00112389	 	0.17083128
dear	 	 	29	153	0.00108643	 	0.16622379
replied	 	 	29	154	0.00108643	 	0.16731022
moment	 	 	29	155	0.00108643	 	0.16839665
look	 	 	29	156	0.00108643	 	0.16948308
day	 	 	29	157	0.00108643	 	0.17056951
eyes	 	 	29	158	0.00108643	 	0.17165594
three	 	 	28	159	0.00104896	 	0.16678464
can't	 	 	28	160	0.00104896	 	0.1678336
might	 	 	28	161	0.00104896	 	0.16888256
caterpillar	 	 	27	162	0.0010115	 	0.163863
good	 	 	27	163	0.0010115	 	0.1648745
make	 	 	27	164	0.0010115	 	0.165886
going	 	 	27	165	0.0010115	 	0.1668975
poor	 	 	27	166	0.0010115	 	0.167909
seemed	 	 	27	167	0.0010115	 	0.1689205
should	 	 	27	168	0.0010115	 	0.169932
too	 	 	26	169	0.00097404	 	0.16461276
course	 	 	26	170	0.00097404	 	0.1655868
without	 	 	26	171	0.00097404	 	0.16656084
upon	 	 	26	172	0.00097404	 	0.16753488
away	 	 	25	173	0.00093658	 	0.16202834
yet	 	 	25	174	0.00093658	 	0.16296492
rather	 	 	25	175	0.00093658	 	0.1639015
soon	 	 	25	176	0.00093658	 	0.16483808
while	 	 	25	177	0.00093658	 	0.16577466
shall	 	 	25	178	0.00093658	 	0.16671124
took	 	 	24	179	0.00089911	 	0.16094069
than	 	 	24	180	0.00089911	 	0.1618398
sure	 	 	24	181	0.00089911	 	0.16273891
same	 	 	24	182	0.00089911	 	0.16363802
won't	 	 	24	183	0.00089911	 	0.16453713
there's	 	 	24	184	0.00089911	 	0.16543624
felt	 	 	23	185	0.00086165	 	0.15940525
half	 	 	23	186	0.00086165	 	0.1602669
added	 	 	23	187	0.00086165	 	0.16112855
you're	 	 	23	188	0.00086165	 	0.1619902
another	 	 	22	189	0.00082419	 	0.15577191
jury	 	 	22	190	0.00082419	 	0.1565961
take	 	 	22	191	0.00082419	 	0.15742029
getting	 	 	22	192	0.00082419	 	0.15824448
ever	 	 	21	193	0.00078672	 	0.15183696
hand	 	 	21	194	0.00078672	 	0.15262368
minute	 	 	21	195	0.00078672	 	0.1534104
till	 	 	21	196	0.00078672	 	0.15419712
find	 	 	21	197	0.00078672	 	0.15498384
words	 	 	21	198	0.00078672	 	0.15577056
wish	 	 	21	199	0.00078672	 	0.15655728
however	 	 	20	200	0.00074926	 	0.149852
anything	 	 	20	201	0.00074926	 	0.15060126
cried	 	 	20	202	0.00074926	 	0.15135052
sort	 	 	20	203	0.00074926	 	0.15209978
even	 	 	19	204	0.0007118	 	0.1452072
old	 	 	19	205	0.0007118	 	0.145919
being	 	 	19	206	0.0007118	 	0.1466308
tea	 	 	19	207	0.0007118	 	0.1473426
tried	 	 	19	208	0.0007118	 	0.1480544
feet	 	 	19	209	0.0007118	 	0.1487662
please	 	 	19	210	0.0007118	 	0.149478
curious	 	 	19	211	0.0007118	 	0.1501898
end	 	 	18	212	0.00067433	 	0.14295796
soup	 	 	18	213	0.00067433	 	0.14363229
wonder	 	 	18	214	0.00067433	 	0.14430662
enough	 	 	18	215	0.00067433	 	0.14498095
house	 	 	18	216	0.00067433	 	0.14565528
table	 	 	18	217	0.00067433	 	0.14632961
court	 	 	18	218	0.00067433	 	0.14700394
use	 	 	18	219	0.00067433	 	0.14767827
something	 	 	18	220	0.00067433	 	0.1483526
eat	 	 	18	221	0.00067433	 	0.14902693
spoke	 	 	17	222	0.00063687	 	0.14138514
side	 	 	17	223	0.00063687	 	0.14202201
talking	 	 	17	224	0.00063687	 	0.14265888
asked	 	 	17	225	0.00063687	 	0.14329575
question	 	 	17	226	0.00063687	 	0.14393262
sat	 	 	17	227	0.00063687	 	0.14456949
let	 	 	17	228	0.00063687	 	0.14520636
perhaps	 	 	17	229	0.00063687	 	0.14584323
under	 	 	16	230	0.00059941	 	0.1378643
doesn't	 	 	16	231	0.00059941	 	0.13846371
ran	 	 	16	232	0.00059941	 	0.13906312
indeed	 	 	16	233	0.00059941	 	0.13966253
hastily	 	 	16	234	0.00059941	 	0.14026194
turned	 	 	16	235	0.00059941	 	0.14086135
bit	 	 	16	236	0.00059941	 	0.14146076
garden	 	 	16	237	0.00059941	 	0.14206017
high	 	 	16	238	0.00059941	 	0.14265958
near	 	 	15	239	0.00056195	 	0.13430605
seen	 	 	15	240	0.00056195	 	0.134868
saying	 	 	15	241	0.00056195	 	0.13542995
speak	 	 	15	242	0.00056195	 	0.1359919
air	 	 	15	243	0.00056195	 	0.13655385
gave	 	 	15	244	0.00056195	 	0.1371158
mad	 	 	15	245	0.00056195	 	0.13767775
knew	 	 	15	246	0.00056195	 	0.1382397
low	 	 	15	247	0.00056195	 	0.13880165
idea	 	 	15	248	0.00056195	 	0.1393636
done	 	 	15	249	0.00056195	 	0.13992555
arm	 	 	15	250	0.00056195	 	0.1404875
called	 	 	15	251	0.00056195	 	0.14104945
face	 	 	15	252	0.00056195	 	0.1416114
am	 	 	15	253	0.00056195	 	0.14217335
because	 	 	15	254	0.00056195	 	0.1427353
itself	 	 	14	255	0.00052448	 	0.1337424
better	 	 	14	256	0.00052448	 	0.13426688
anxiously	 	 	14	257	0.00052448	 	0.13479136
left	 	 	14	258	0.00052448	 	0.13531584
hear	 	 	14	259	0.00052448	 	0.13584032
certainly	 	 	14	260	0.00052448	 	0.1363648
change	 	 	14	261	0.00052448	 	0.13688928
remember	 	 	14	262	0.00052448	 	0.13741376
talk	 	 	14	263	0.00052448	 	0.13793824
saw	 	 	14	264	0.00052448	 	0.13846272
these	 	 	14	265	0.00052448	 	0.1389872
